"keyword","priority","intent","secondary_intents","funnel","conversion_distance","commercial_score","live_signal_score","semrush_volume","brand_fitness","content_format","existing_intent","strategy_line"
"best vibrator for couples","P0","商业调查","","mid","mid","88","100","590","medium","bestof_page","bestof","neutral_review"
"best vibrators","P0","商业调查","","mid","mid","85","100","12100","medium","bestof_page","bestof","neutral_review"
"best rabbit vibrators","P0","商业调查","功能型商业词","mid","mid","85","100","720","medium","bestof_page","bestof","neutral_review"
"best bullet vibrators","P0","商业调查","功能型商业词","mid","mid","85","100","590","medium","bestof_page","bestof","neutral_review"
"best wand vibrators","P0","商业调查","","mid","mid","85","100","480","medium","bestof_page","bestof","neutral_review"
"best g spot vibrators","P0","商业调查","功能型商业词","mid","mid","85","100","390","medium","bestof_page","bestof","neutral_review"
"lovense review","P1","评测判断","品牌防御","bottom","near","93","22","320","low","review_page","review","neutral_review"
"remote control vibrators","P1","功能型商业词","","mid","mid","78","50","1300","medium","category_page","category","category_capture"
"discreet vibrators","P1","功能型商业词","场景需求","mid","mid","78","50","720","medium","category_page","category","category_capture"
"how to use a vibrator","P1","问题解决","使用教程","top","mid-far","58","100","5400","medium","guide_page","educational","education_research"